NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,431.9565049540047
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,463.2637945702278
b38a03232f43b11c9d0788abaf060f7366053b6d,565.1387160534479
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.0
715494628a50142ce8cb17191cfe6d0f3cae0934,540.0526294150152
e656d6bad65c93fb2880f1eba5037008c8e75774,472.2209586195022
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,537.6696920557636
11539e86171bf07d3a36f09377d7f54ebcc8406a,425.59238048021047
043c544a2104aa8a9849f1a703a08d37a2f16839,486.23984595453726
76ba050e64ad100b856f0eaabd8f539d5c7dd185,465.9053533055187
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0.0
db4da599aab5bb08dce27094a35fd3e36cd0abce,0.0
940aede382ccb332fab15d413217695ec44ca765,473.83695271421885
9ad714b116da76d878dd399d187fccc2dd13dd63,540.6732029224645
dd34464a4d780b12a089347ad580418ac57a3055,516.1135508902457
f837a4cb05a5fd59d20138182f5e8c721eadd584,503.1271592385185
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.0
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.0
8b0c675d7fde14953668269d378c588f0df0498b,0.0
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,396.3989555988358
3d203727f27abd83b71732d88d8cb1cc099f363b,431.35541137396086
d30d31c8ff45094e9a992c63d4a6f68b245a341a,68.19279817133344
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0.0
cbc301183dec912f3513ca766bf03dd565f3a38f,508.33929179560755
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,619.139265528998
11282da1ee78c8db45a041db4c744e33df489df0,453.87161977037533
03c67f683a415c2ea09b582248bd4cb08528c19d,573.7577548280784
046e844fb06a07ba30b41521f0065a8d9c6e5024,398.72890913656886
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,449.56123020504265
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.0
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0.0
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,409.1723441814174
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,552.4707428258092
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,504.02691228010633
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,529.0394110885097
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,477.8505456312573
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,471.4554081470434
59bfa081e020013410d9f60f91813964ba749bb2,430.9512273626683
f5e069ee3bc95998464e8ff5da048b7f999921ed,423.1519759872631
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,597.3841829445167
664f44258212a1f7e4086f2b4845d586c543fa3f,483.94323876226986
265cd7befa74a9f2a198fc57baec9858075f8419,420.06524559448087
6f9ac44919bbd204e0ef15185388fd2d4bc61253,508.4368662817067
78de1ee60b55766cc3eba4089e36c57139b66ebd,461.38295674003257
24550edb10f283ef4e953fd6a8fedbfa211bd456,0.0
1e61a474acdc043eb39a89c17fab34bd2ea1a940,434.04485920342825
940af68ded6af2875708611051aa7ff3f134d80b,509.363162405519
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,478.8877539040539
c76ddf6e9f80984e901b12f9462a3cf029bea290,486.9858967630008
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,470.4121373117545
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,81.0218809057422
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,38.510432570430225
92823d467a2ced9529801e0e8a94802dd88f0c17,460.0569199189468
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,583.2824152727768
413cbb38b2e2522f8167ffb9daeac1347b281393,490.796215108055
68985fad004092956a4b4ce94dd53dc76d07eaf7,495.5689497317486
bdca9aeb19521675af15f2c28d86f6bebc45a834,510.12966687019696
b65b19d42b7a4b644fe9f99366dcb37b120862d9,436.42610669343566
eda898aa8ec465cbac70de72ead0c6d688e5f95a,459.25181781153145
5357b6c09be4c7f3829b72f80de846a9228253cb,0.0
8d5c4481d736f6ce27976e400f4245bf10757608,441.48441218941554
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,0.0
